Exp	a_t	lp	e_b	e_n	dsbeta	e_ds	mwd	aw	Yu2007-Exp1-2x2-single	Yu2007-Exp1-3x3-single	Yu2007-Exp1-4x4-single	Yurokovisky2013-Exp1-single	Yurokovisky2013-Exp1-either	Yurokovisky2013-Exp1-both	Yurokovisky2013-Exp2-single	Yurokovisky2013-Exp2-either	Yurokovisky2013-Exp2-both	Yurokovisky2013-Exp3-single	Yurokovisky2013-Exp3-either	Yurokovisky2013-Exp3-both	Yurokovisky2013-Exp3-early	Yurokovisky2013-Exp3-late
All	0.99169	0.0613469	0.548415	0.257112	0.382284	2.12755	0.129632	57.6583	0.712963	0.444444	0.509259	0.477778	0.477778	0.355556	0.438889	0.611111	0.3	0.372222	0.694444	0.222222	0.183333	0.0388889
All	0.995475	0.0461725	0.238488	0.721784	0.673138	3.30003	0.50322	140.1	0.651852	0.659259	0.67037	0.344444	0.383333	0.527778	0.666667	0.594444	0.283333	0.411111	0.466667	0.477778	0.444444	0.0333333
All	0.995673	0.0296677	0.490509	0.664272	0.0741529	1.49586	0.282652	174.267	0.655556	0.67037	0.672222	0.316667	0.377778	0.505556	0.666667	0.722222	0.194444	0.416667	0.455556	0.5	0.477778	0.0222222
All	0.996607	0.0501042	0.132709	0.601947	0.179043	4.01967	0.0505938	204.214	0.703704	0.685185	0.62037	0.455556	0.4	0.533333	0.577778	0.627778	0.25	0.472222	0.533333	0.388889	0.311111	0.0777778
All	0.993056	0.0420275	0.0894872	0.0910461	0.570909	1.31259	0.150309	15.7097	0.616667	0.368519	0.303704	0.35	0.7	0.222222	0.294444	0.633333	0.222222	0.3	0.633333	0.238889	0.0833333	0.155556
All	0.996732	0.0610935	0.594016	0.615108	0.106608	3.14009	0.508775	207.733	0.696296	0.707407	0.674074	0.372222	0.333333	0.594444	0.583333	0.488889	0.45	0.527778	0.583333	0.405556	0.322222	0.0833333
All	0.991996	0.0263188	0.649215	0.668488	0.698769	2.48075	0.119463	24.0614	0.646296	0.440741	0.512963	0.394444	0.344444	0.388889	0.327778	0.505556	0.388889	0.316667	0.883333	0.0611111	0.00555556	0.0555556
All	0.998311	0.0265778	0.262157	0.558091	0.468257	1.66704	0.012235	70.6029	0.5	0.477778	0.52037	0.194444	0.5	0.488889	0.316667	0.883333	0.0722222	0.388889	0.705556	0.211111	0.205556	0.00555556
All	0.996234	0.0161822	0.307281	0.564868	0.439608	4.8461	0.442563	60.7375	0.483333	0.433333	0.5	0.316667	0.338889	0.494444	0.272222	0.633333	0.316667	0.255556	0.794444	0.194444	0.0388889	0.155556
All	0.995978	0.0417215	0.655408	0.556404	0.593561	1.61694	0.00226102	104.862	0.324074	0.444444	0.47963	0.211111	0.45	0.35	0.394444	0.694444	0.177778	0.294444	0.561111	0.35	0.35	0
All	0.99259	0.0637423	0.143111	0.0328683	0.10391	1.99655	0.120093	178.031	0.525926	0.494444	0.416667	0.283333	0.744444	0.2	0.144444	0.566667	0.3	0.344444	0.516667	0.272222	0.25	0.0222222
All	0.995002	0.0477223	0.0283272	0.50171	0.462287	1.7484	0.948103	199.688	0.711111	0.562963	0.540741	0.344444	0.405556	0.472222	0.405556	0.555556	0.35	0.322222	0.483333	0.338889	0.322222	0.0166667
All	0.991171	0.0431573	0.320579	0.479072	0.29044	2.46158	0.987998	94.752	0.361111	0.235185	0.257407	0.166667	0.483333	0.277778	0.00555556	0.766667	0.166667	0.0333333	0.794444	0.183333	0.0666667	0.116667
All	0.992691	0.0597177	0.703135	0.74324	0.0367935	2.73955	0.875066	190.513	0.683333	0.525926	0.55	0.372222	0.4	0.405556	0.344444	0.455556	0.427778	0.377778	0.644444	0.316667	0.272222	0.0444444
All	0.997966	0.0677064	0.735827	0.608614	0.296883	0.433108	0.582337	204.016	0.437037	0.451852	0.468519	0.333333	0.322222	0.511111	0.405556	0.666667	0.172222	0.388889	0.633333	0.3	0.172222	0.127778
All	0.996365	0.0552879	0.440731	0.543494	0.591415	2.21344	0.552655	68.3556	0.557407	0.416667	0.42963	0.333333	0.327778	0.483333	0.205556	0.566667	0.366667	0.183333	0.788889	0.177778	0.0166667	0.161111
All	0.991351	0.0332571	0.0118955	0.527023	0.642011	4.3745	0.488857	151.193	0.485185	0.361111	0.416667	0.333333	0.533333	0.322222	0.327778	0.722222	0.211111	0.288889	0.722222	0.166667	0.15	0.0166667
All	0.991525	0.0340796	0.684903	0.645249	0.448872	4.19707	0.598042	211.332	0.574074	0.414815	0.501852	0.383333	0.438889	0.344444	0.327778	0.488889	0.366667	0.322222	0.594444	0.294444	0.255556	0.0388889
All	0.993641	0.0167831	0.0415331	0.629668	0.709197	3.52508	0.0596406	36.0095	0.637037	0.487037	0.509259	0.455556	0.538889	0.438889	0.433333	0.727778	0.127778	0.411111	0.727778	0.105556	0.1	0.00555556
All	0.990069	0.0159131	0.0688419	0.676274	0.0442818	0.559969	0.547876	205.722	0.477778	0.335185	0.322222	0.35	0.616667	0.25	0.25	0.6	0.277778	0.311111	0.733333	0.144444	0.105556	0.0388889
All	0.995646	0.0151179	0.175104	0.148661	0.419652	4.65016	0.288357	50.3996	0.527778	0.340741	0.398148	0.272222	0.561111	0.3	0.138889	0.722222	0.244444	0.338889	0.716667	0.166667	0.0222222	0.144444
