Exp	a_t	lp	e_b	e_n	dsbeta	e_ds	mwd	aw	Yu2007-Exp1-2x2-single	Yu2007-Exp1-3x3-single	Yu2007-Exp1-4x4-single	Yurokovisky2013-Exp1-single	Yurokovisky2013-Exp1-either	Yurokovisky2013-Exp1-both	Yurokovisky2013-Exp2-single	Yurokovisky2013-Exp2-either	Yurokovisky2013-Exp2-both	Yurokovisky2013-Exp3-single	Yurokovisky2013-Exp3-either	Yurokovisky2013-Exp3-both	Yurokovisky2013-Exp3-early	Yurokovisky2013-Exp3-late
All	0.999729	0.0114028	0.498251	0.232464	0.992346	4.46053	0.292756	211.892	0.696296	0.618519	0.418519	0.188889	0.555556	0.35	0.283333	0.611111	0.361111	0.55	0.588889	0.311111	0.227778	0.0833333
All	0.999555	0.0258565	0.100485	0.0500737	0.604777	4.29534	0.000892906	203.285	0.644444	0.585185	0.448148	0.25	0.644444	0.311111	0.438889	0.655556	0.338889	0.427778	0.7	0.233333	0.138889	0.0944444
All	0.999311	0.14248	0.112884	0.00228955	0.502053	1.15029	0.070192	201.648	0.446296	0.492593	0.398148	0.316667	0.6	0.2	0.3	0.738889	0.233333	0.327778	0.772222	0.0444444	0.0277778	0.0166667
All	0.999115	0.0588144	0.527188	0.137308	0.893	2.78424	0.157419	204.672	0.401852	0.368519	0.346296	0.183333	0.538889	0.222222	0.238889	0.777778	0.194444	0.35	0.811111	0.133333	0.0388889	0.0944444
All	0.999791	0.0633237	0.0597128	0.0198243	0.0533829	4.05299	0.204052	203.754	0.905556	0.696296	0.5	0.133333	0.627778	0.322222	0.6	0.488889	0.388889	0.794444	0.783333	0.161111	0.161111	0
All	0.999155	0.19469	0.401483	0.0642994	0.658591	4.36638	0.838787	205.382	0.412963	0.383333	0.32037	0.266667	0.533333	0.266667	0.272222	0.761111	0.166667	0.288889	0.877778	0.0722222	0.0277778	0.0444444
All	0.999801	0.0766586	0.345499	0.0159692	0.80535	2.88226	0.273244	205.105	0.914815	0.790741	0.57037	0.183333	0.688889	0.25	0.594444	0.566667	0.366667	0.816667	0.794444	0.2	0.183333	0.0166667
All	0.99958	0.0832643	0.494659	0.0417258	0.155457	1.15167	0.0319102	210.373	0.751852	0.587037	0.5	0.294444	0.577778	0.316667	0.288889	0.655556	0.294444	0.427778	0.683333	0.25	0.144444	0.105556
All	0.999142	0.0473346	0.555007	0.0056836	0.572179	3.2576	0.416667	200.689	0.459259	0.390741	0.344444	0.211111	0.583333	0.272222	0.2	0.716667	0.238889	0.283333	0.833333	0.111111	0.0222222	0.0888889
All	0.999386	0.0353101	0.0726215	0.0345731	0.410463	4.92373	0.0941412	205.309	0.451852	0.466667	0.385185	0.261111	0.65	0.272222	0.411111	0.666667	0.333333	0.272222	0.694444	0.172222	0.127778	0.0444444
All	0.99913	0.0317151	0.578478	0.260016	0.396707	3.99767	0.711621	211.395	0.414815	0.35	0.338889	0.166667	0.5	0.294444	0.233333	0.783333	0.194444	0.255556	0.822222	0.0777778	0.0222222	0.0555556
All	0.999675	0.0982438	0.510911	0.0271192	0.452538	2.31953	0.669879	214.969	0.792593	0.718519	0.527778	0.316667	0.616667	0.316667	0.377778	0.661111	0.272222	0.75	0.555556	0.427778	0.294444	0.133333
All	0.999838	0.00234523	0.264159	0.0277506	0.587914	2.35324	0.488884	206.861	0.898148	0.788889	0.531481	0.161111	0.683333	0.255556	0.577778	0.594444	0.366667	0.711111	0.816667	0.177778	0.166667	0.0111111
All	0.999299	0.00525915	0.335463	0.04212	0.0308353	4.89562	0.699079	205.854	0.531481	0.462963	0.355556	0.338889	0.477778	0.277778	0.294444	0.833333	0.127778	0.311111	0.838889	0.116667	0.05	0.0666667
All	0.99986	0.171133	0.278138	0.0373433	0.856999	3.46425	0.207998	205.535	0.883333	0.805556	0.505556	0.144444	0.716667	0.222222	0.588889	0.616667	0.333333	0.811111	0.766667	0.222222	0.2	0.0222222
All	0.999272	0.0802985	0.256147	0.0161297	0.719175	1.72257	0.741924	206.362	0.52037	0.407407	0.335185	0.3	0.65	0.172222	0.311111	0.855556	0.111111	0.372222	0.75	0.0555556	0.0388889	0.0166667
All	0.999425	0.152365	0.0745963	0.0242964	0.392431	4.84275	0.309936	206.679	0.533333	0.505556	0.414815	0.222222	0.633333	0.266667	0.388889	0.694444	0.3	0.366667	0.655556	0.227778	0.177778	0.05
