Exp	a_t	lp	e_b	e_n	dsbeta	e_ds	mwd	aw	Yu2007-Exp1-2x2-single	Yu2007-Exp1-3x3-single	Yu2007-Exp1-4x4-single	Yurokovisky2013-Exp1-single	Yurokovisky2013-Exp1-either	Yurokovisky2013-Exp1-both	Yurokovisky2013-Exp2-single	Yurokovisky2013-Exp2-either	Yurokovisky2013-Exp2-both	Yurokovisky2013-Exp3-single	Yurokovisky2013-Exp3-either	Yurokovisky2013-Exp3-both	Yurokovisky2013-Exp3-early	Yurokovisky2013-Exp3-late
All	0.9999030	0.1081	0.3340	0.2496	0.9665	3.4557	0.7188	206.1970	0.8167	0.7204	0.5667	0.3111	0.5778	0.3500	0.4167	0.7000	0.2778	0.5000	0.6611	0.3	0.25	0.05
All	0.9999100	0.1012	0.5420	0.4953	0.8654	3.0913	0.1979	201.5850	0.6778	0.6778	0.5741	0.2778	0.4667	0.4444	0.4333	0.7556	0.1944	0.4556	0.5722	0.394444	0.327778	0.0666667
All	0.9999400	0.1568	0.6174	0.3547	0.1263	4.9771	0.8779	202.0430	0.8167	0.5778	0.5500	0.2000	0.4667	0.5056	0.5278	0.7778	0.2056	0.5167	0.7833	0.116667	0.111111	0.00555556
All	0.9998200	0.1591	0.1311	0.0963	0.5034	4.6771	0.5987	200.4970	0.6704	0.5667	0.4574	0.2333	0.5556	0.3056	0.3222	0.7444	0.1000	0.4056	0.8556	0.0722222	0.0666667	0.00555556
All	0.9998720	0.0399	0.0088	0.0073	0.9294	3.2298	0.7101	214.2490	0.7704	0.7056	0.5741	0.4444	0.3389	0.6556	0.5778	0.6944	0.2556	0.3778	0.7000	0.138889	0.127778	0.0111111
All	0.9998540	0.0541	0.5904	0.2760	0.4406	2.0055	0.3343	203.1820	0.7963	0.6056	0.4370	0.1778	0.5222	0.3333	0.3000	0.7278	0.2500	0.3556	0.7944	0.1	0.0888889	0.0111111
All	0.9999670	0.1609	0.2729	0.1547	0.9944	0.2747	0.1900	206.6710	0.8593	0.7519	0.7759	0.4667	0.2778	0.6722	0.5500	0.6333	0.3667	0.3722	0.8667	0.0888889	0.0777778	0.0111111
All	0.9998520	0.1270	0.1333	0.0713	0.8949	3.0459	0.8809	204.7150	0.7241	0.5981	0.5407	0.3222	0.4500	0.4611	0.3389	0.7722	0.0833	0.3778	0.7222	0.166667	0.0944444	0.0722222
All	0.9999340	0.0308	0.3977	0.2856	0.6540	4.7524	0.9255	212.2070	0.9278	0.6185	0.6315	0.2611	0.4944	0.4833	0.4722	0.8167	0.1667	0.4556	0.6667	0.238889	0.194444	0.0444444
All	0.9999760	0.0688	0.0493	0.0441	0.9608	2.0994	0.8952	208.5860	0.8648	0.8519	0.6852	0.6333	0.1889	0.8111	0.8333	0.6944	0.3056	0.7833	0.8278	0.172222	0.172222	0
All	0.9999310	0.0417	0.4355	0.1363	0.2256	4.6581	0.0440	209.4500	0.9407	0.6981	0.6185	0.2778	0.3889	0.5667	0.4167	0.7389	0.2500	0.5667	0.5722	0.383333	0.333333	0.05
All	0.9998590	0.0243	0.4870	0.2555	0.5540	1.0690	0.6892	215.4260	0.7630	0.5556	0.4148	0.2333	0.5000	0.3444	0.3000	0.8278	0.1444	0.3556	0.7389	0.0666667	0.0666667	0
All	0.9998180	0.0564	0.1253	0.0473	0.9045	2.4049	0.5347	208.1210	0.6315	0.6296	0.4630	0.2167	0.5667	0.2944	0.1944	0.8833	0.0667	0.4056	0.6944	0.155556	0.155556	0
All	0.9998280	0.0619	0.6492	0.4127	0.9137	4.1437	0.2531	212.9710	0.6056	0.5000	0.3407	0.1833	0.4778	0.3056	0.2556	0.7611	0.1500	0.2556	0.7333	0.177778	0.144444	0.0333333
All	0.9998330	0.1724	0.0936	0.0313	0.8551	4.3599	0.2053	212.3260	0.7056	0.6204	0.5222	0.2000	0.4778	0.4500	0.2333	0.7167	0.2333	0.4722	0.4278	0.283333	0.277778	0.00555556
All	0.9998690	0.1959	0.2285	0.1135	0.7486	2.7996	0.9526	200.3630	0.8259	0.5778	0.4796	0.3500	0.5111	0.3667	0.2278	0.6833	0.2056	0.4056	0.6056	0.238889	0.205556	0.0333333
All	0.9998890	0.1450	0.2313	0.2261	0.7893	4.4594	0.3502	202.6050	0.7519	0.5722	0.5593	0.2611	0.4778	0.4500	0.2500	0.6444	0.3222	0.4444	0.6167	0.25	0.227778	0.0222222
All	0.9998450	0.1312	0.3648	0.1108	0.3649	1.2538	0.4560	204.2440	0.7889	0.5870	0.3926	0.2944	0.4833	0.3333	0.2500	0.7944	0.1167	0.3278	0.8056	0.0944444	0.0777778	0.0166667
All	0.9999370	0.0824	0.0217	0.0052	0.9758	3.1834	0.6433	213.0610	0.8704	0.8333	0.6111	0.5389	0.3389	0.6611	0.7778	0.7722	0.2278	0.7722	0.8778	0.122222	0.0666667	0.0555556
All	0.9998840	0.0313	0.0546	0.0429	0.5060	0.6905	0.0016	212.1540	0.7463	0.5926	0.3870	0.2167	0.4667	0.5222	0.4000	0.7333	0.1833	0.5667	0.5333	0.227778	0.133333	0.0944444
All	0.9998930	0.0681	0.3026	0.1076	0.7709	2.5461	0.3646	211.8190	0.9333	0.6593	0.6000	0.2889	0.5056	0.4222	0.3278	0.7389	0.2500	0.3833	0.5833	0.311111	0.294444	0.0166667
All	0.9998390	0.0897	0.2029	0.1656	0.2690	3.6214	0.2247	213.1510	0.6685	0.5333	0.4389	0.2667	0.4389	0.3667	0.2278	0.8278	0.0944	0.3556	0.7056	0.161111	0.155556	0.00555556
