Exp	a_t	lp	e_b	e_n	dsbeta	e_ds	mwd	aw	Yu2007-Exp1-2x2-single	Yu2007-Exp1-3x3-single	Yu2007-Exp1-4x4-single	Yurokovisky2013-Exp1-single	Yurokovisky2013-Exp1-either	Yurokovisky2013-Exp1-both	Yurokovisky2013-Exp2-single	Yurokovisky2013-Exp2-either	Yurokovisky2013-Exp2-both	Yurokovisky2013-Exp3-single	Yurokovisky2013-Exp3-either	Yurokovisky2013-Exp3-both	Yurokovisky2013-Exp3-early	Yurokovisky2013-Exp3-late
All	0.999547	0.0230315	0.0823978	0.0197624	0.397642	0.0383071	0.019446	250	0.364815	0.364815	0.344444	0.344444	0.405556	0.427778	0.311111	0.511111	0.411111	0.466667	0.594444	0.383333	0.183333	0.2
All	0.999195	0.535753	0.0791868	0.00569321	0.44314	0.0894651	0.103306	250	0.348148	0.333333	0.407407	0.344444	0.505556	0.255556	0.344444	0.566667	0.338889	0.361111	0.566667	0.338889	0.155556	0.183333
All	0.999409	0.738839	0.0776529	0.0325612	0.474169	0.0167929	0.485599	250	0.381481	0.416667	0.42963	0.288889	0.422222	0.411111	0.35	0.422222	0.477778	0.416667	0.544444	0.444444	0.183333	0.261111
All	0.999401	0.531528	0.0994448	0.0141282	0.852271	0.0703019	0.871277	250	0.342593	0.362963	0.388889	0.361111	0.45	0.327778	0.361111	0.577778	0.35	0.35	0.544444	0.394444	0.188889	0.205556
All	0.999735	0.141737	0.0315893	0.00355207	0.714499	0.0694616	0.86882	250	0.32963	0.487037	0.275926	0.277778	0.572222	0.255556	0.277778	0.616667	0.322222	0.361111	0.6	0.222222	0.105556	0.116667
All	0.999756	0.295662	0.013268	0.000146981	0.786195	0.0377409	0.748717	250	0.35	0.431481	0.253704	0.272222	0.65	0.222222	0.361111	0.572222	0.333333	0.322222	0.594444	0.172222	0.0944444	0.0777778
All	0.999947	0.258558	0.0498812	0.0132784	0.137418	0.0784983	0.324462	250	0.875926	0.848148	0.392593	0.205556	0.661111	0.194444	0.65	0.566667	0.327778	0.35	0.683333	0.194444	0.194444	0
All	0.999479	0.647656	0.0126269	0.00515764	0.114565	0.0917005	0.0425872	250	0.211111	0.375926	0.325926	0.238889	0.533333	0.3	0.388889	0.616667	0.294444	0.305556	0.65	0.255556	0.161111	0.0944444
All	0.999539	0.129261	0.0711338	0.00395735	0.378168	0.0913544	0.630644	250	0.351852	0.362963	0.327778	0.294444	0.522222	0.294444	0.266667	0.622222	0.311111	0.355556	0.577778	0.333333	0.188889	0.144444
All	0.999955	0.685634	0.0393819	0.0144341	0.0283844	0.0515692	0.877148	250	0.875926	0.881481	0.412963	0.183333	0.666667	0.2	0.605556	0.605556	0.322222	0.244444	0.622222	0.238889	0.233333	0.00555556
All	0.999682	0.666712	0.0166844	0.00545733	0.940617	0.0976653	0.230822	250	0.394444	0.461111	0.331481	0.261111	0.594444	0.255556	0.45	0.65	0.316667	0.261111	0.655556	0.194444	0.111111	0.0833333
All	0.9998	0.314499	0.0177426	0.00136575	0.767075	0.0408948	0.276001	250	0.324074	0.431481	0.251852	0.183333	0.511111	0.261111	0.261111	0.55	0.394444	0.211111	0.661111	0.222222	0.0722222	0.15
All	0.999232	0.273447	0.0923476	0.0440657	0.972283	0.0323229	0.375063	250	0.453704	0.368519	0.37963	0.338889	0.383333	0.411111	0.344444	0.661111	0.288889	0.383333	0.633333	0.344444	0.211111	0.133333
All	0.999629	0.00751425	0.0343392	0.0136392	0.693045	0.0547114	0.907336	250	0.294444	0.366667	0.27037	0.283333	0.577778	0.25	0.333333	0.677778	0.261111	0.244444	0.733333	0.216667	0.127778	0.0888889
All	0.999811	0.126678	0.0408305	0.00070742	0.0720635	0.0630162	0.384125	250	0.462963	0.52037	0.264815	0.244444	0.65	0.2	0.283333	0.566667	0.372222	0.3	0.611111	0.183333	0.0888889	0.0944444
All	0.999222	0.482793	0.0500969	0.0185435	0.565927	0.0389538	0.0739334	250	0.390741	0.37963	0.390741	0.338889	0.461111	0.344444	0.294444	0.538889	0.35	0.355556	0.561111	0.383333	0.188889	0.194444
All	0.999161	0.310789	0.0385594	0.0150017	0.616972	0.0613277	0.539245	250	0.287037	0.377778	0.388889	0.272222	0.444444	0.338889	0.277778	0.561111	0.338889	0.361111	0.555556	0.344444	0.183333	0.161111
All	0.999918	0.149083	0.0878667	0.0206891	0.681451	0.056589	0.823285	250	0.551852	0.553704	0.387037	0.15	0.705556	0.2	0.533333	0.583333	0.344444	0.283333	0.716667	0.15	0.127778	0.0222222
All	0.999004	0.341342	0.0962357	0.000374619	0.116052	0.0959641	0.582823	250	0.353704	0.381481	0.409259	0.361111	0.494444	0.283333	0.333333	0.538889	0.338889	0.344444	0.6	0.338889	0.177778	0.161111
All	0.999233	0.355114	0.0376711	0.0156551	0.725792	0.00588166	0.198501	250	0.248148	0.368519	0.394444	0.283333	0.433333	0.366667	0.311111	0.5	0.394444	0.255556	0.566667	0.388889	0.172222	0.216667
All	0.999349	0.0247108	0.0729181	0.00826263	0.0999934	0.00354032	0.61681	250	0.359259	0.4	0.390741	0.322222	0.422222	0.355556	0.305556	0.516667	0.394444	0.433333	0.6	0.377778	0.138889	0.238889
All	0.999584	0.291989	0.0376151	0.0172489	0.840949	0.0294236	0.805208	250	0.248148	0.381481	0.340741	0.238889	0.416667	0.416667	0.333333	0.5	0.394444	0.327778	0.561111	0.366667	0.111111	0.255556
All	0.999436	0.0654184	0.0202079	0.00758438	0.771158	0.00882713	0.754486	250	0.190741	0.322222	0.32963	0.283333	0.383333	0.461111	0.311111	0.511111	0.366667	0.244444	0.533333	0.388889	0.205556	0.183333
All	0.999339	0.203288	0.0205555	0.00441853	0.0145571	0.0259672	0.45935	250	0.190741	0.340741	0.366667	0.255556	0.438889	0.377778	0.372222	0.566667	0.294444	0.327778	0.561111	0.311111	0.216667	0.0944444
All	0.999966	0.602556	0.0317115	0.00603974	0.14683	0.0148808	0.688995	250	0.883333	0.877778	0.377778	0.233333	0.655556	0.216667	0.694444	0.616667	0.338889	0.3	0.627778	0.233333	0.227778	0.00555556
All	0.999446	0.230485	0.0257136	0.0121972	0.295938	0.0122049	0.915497	250	0.209259	0.342593	0.355556	0.277778	0.361111	0.427778	0.305556	0.466667	0.388889	0.244444	0.55	0.327778	0.172222	0.155556
All	0.999519	0.501967	0.0938134	0.0284621	0.264825	0.0106911	0.000435002	250	0.396296	0.383333	0.416667	0.305556	0.322222	0.472222	0.322222	0.516667	0.411111	0.438889	0.544444	0.422222	0.177778	0.244444
All	0.999683	0.560821	0.0778598	0.0251245	0.2299	0.0464377	0.817882	250	0.340741	0.388889	0.355556	0.283333	0.538889	0.355556	0.333333	0.622222	0.311111	0.35	0.65	0.305556	0.177778	0.127778
All	0.999134	0.249983	0.0556941	0.0116709	0.86647	0.0425696	0.0632906	250	0.424074	0.346296	0.364815	0.316667	0.444444	0.377778	0.305556	0.561111	0.311111	0.338889	0.544444	0.405556	0.233333	0.172222
All	0.999214	0.526963	0.0836863	0.0206559	0.295022	0.00491726	0.508085	250	0.444444	0.42963	0.394444	0.311111	0.422222	0.411111	0.261111	0.466667	0.416667	0.366667	0.511111	0.455556	0.183333	0.272222
All	0.999458	0.395354	0.0969946	0.026643	0.431202	0.0678077	0.171644	250	0.385185	0.361111	0.403704	0.316667	0.416667	0.383333	0.283333	0.611111	0.316667	0.327778	0.572222	0.377778	0.227778	0.15
All	0.999313	0.274873	0.0411762	0.00204325	0.363468	0.0752014	0.404276	250	0.27963	0.361111	0.398148	0.322222	0.5	0.3	0.3	0.616667	0.277778	0.333333	0.594444	0.305556	0.205556	0.1
All	0.999391	0.347842	0.066566	0.0206891	0.679299	0.0829363	0.602438	250	0.312963	0.364815	0.375926	0.294444	0.461111	0.288889	0.322222	0.544444	0.361111	0.322222	0.511111	0.388889	0.211111	0.177778
All	0.999804	0.393029	0.014588	0.00307329	0.831167	0.080675	0.590608	250	0.444444	0.505556	0.301852	0.177778	0.611111	0.211111	0.366667	0.577778	0.388889	0.227778	0.633333	0.233333	0.161111	0.0722222
All	0.999652	0.72344	0.0416605	0.00215487	0.252029	0.0509231	0.305236	250	0.27963	0.368519	0.238889	0.272222	0.488889	0.361111	0.35	0.661111	0.255556	0.216667	0.661111	0.238889	0.133333	0.105556
All	0.999187	0.461891	0.0908715	0.0362556	0.00899434	0.0573225	0.499106	250	0.446296	0.381481	0.412963	0.288889	0.455556	0.294444	0.288889	0.538889	0.377778	0.388889	0.533333	0.394444	0.216667	0.177778
All	0.999607	0.633181	0.0868849	0.0258987	0.655942	0.0283886	0.385651	250	0.372222	0.338889	0.355556	0.355556	0.405556	0.405556	0.305556	0.627778	0.311111	0.4	0.605556	0.372222	0.188889	0.183333
All	0.999622	0.306558	0.0814863	0.0270129	0.359839	0.0332906	0.566854	250	0.348148	0.375926	0.368519	0.333333	0.427778	0.394444	0.294444	0.572222	0.333333	0.422222	0.572222	0.405556	0.183333	0.222222
All	0.999573	0.381306	0.0979385	0.0318077	0.517145	0.0510166	0.514351	250	0.409259	0.368519	0.435185	0.322222	0.394444	0.377778	0.344444	0.627778	0.294444	0.361111	0.605556	0.344444	0.188889	0.155556
All	0.999094	0.715985	0.0626065	0.00587738	0.945281	0.0223283	0.89285	250	0.416667	0.407407	0.392593	0.333333	0.461111	0.361111	0.316667	0.561111	0.377778	0.372222	0.533333	0.416667	0.183333	0.233333
All	0.999595	0.262099	0.0310999	0.00697075	0.990096	0.0734424	0.470343	250	0.262963	0.37963	0.27963	0.3	0.555556	0.277778	0.383333	0.616667	0.344444	0.294444	0.7	0.177778	0.0944444	0.0833333
All	0.99932	0.045073	0.027876	0.00505415	0.478985	0.0500166	0.673406	250	0.262963	0.348148	0.387037	0.277778	0.444444	0.333333	0.288889	0.561111	0.316667	0.305556	0.572222	0.35	0.238889	0.111111
All	0.999875	0.352373	0.0724384	0.00418059	0.752875	0.0528396	0.291538	250	0.464815	0.425926	0.337037	0.0944444	0.533333	0.25	0.355556	0.594444	0.288889	0.183333	0.688889	0.244444	0.183333	0.0611111
All	0.999751	0.458087	0.0260038	0.00119957	0.966067	0.0951766	0.026688	250	0.472222	0.52037	0.288889	0.238889	0.633333	0.238889	0.277778	0.622222	0.311111	0.355556	0.622222	0.222222	0.0944444	0.127778
All	0.999164	0.727941	0.0518074	0.025283	0.232529	0.0909817	0.598784	250	0.303704	0.368519	0.398148	0.283333	0.516667	0.266667	0.305556	0.577778	0.3	0.327778	0.644444	0.283333	0.177778	0.105556
All	0.999725	0.419384	0.0235767	0.00435808	0.764466	0.0992382	0.189587	250	0.4	0.505556	0.287037	0.261111	0.633333	0.25	0.35	0.511111	0.411111	0.35	0.588889	0.261111	0.172222	0.0888889
All	0.999209	0.243814	0.00458699	0.00225111	0.605458	0.0443176	0.236128	250	0.181481	0.251852	0.246296	0.433333	0.572222	0.227778	0.466667	0.711111	0.233333	0.366667	0.566667	0.305556	0.166667	0.138889
