Exp	a_t	lp	e_b	e_n	dsbeta	e_ds	mwd	aw	Yu2007-Exp1-2x2-single	Yu2007-Exp1-3x3-single	Yu2007-Exp1-4x4-single	Yurokovisky2013-Exp1-single	Yurokovisky2013-Exp1-either	Yurokovisky2013-Exp1-both	Yurokovisky2013-Exp2-single	Yurokovisky2013-Exp2-either	Yurokovisky2013-Exp2-both	Yurokovisky2013-Exp3-single	Yurokovisky2013-Exp3-either	Yurokovisky2013-Exp3-both	Yurokovisky2013-Exp3-early	Yurokovisky2013-Exp3-late
All	0.999842	0.0390053	0.00250225	0.00141973	0.224888	2.55399	0.24657	203.264	0.846296	0.638889	0.468519	0.45	0.527778	0.472222	0.588889	0.622222	0.205556	0.555556	0.666667	0.183333	0.15	0.0333333
All	0.99997	0.0260756	0.103424	0.0494187	0.353141	3.31144	0.552751	212.655	0.92963	0.898148	0.642593	0.572222	0.166667	0.833333	0.822222	0.7	0.3	0.761111	0.855556	0.144444	0.144444	0
All	0.999923	0.0459011	0.455864	0.406331	0.591017	4.10768	0.682579	210.839	0.759259	0.562963	0.642593	0.244444	0.588889	0.361111	0.5	0.761111	0.15	0.438889	0.622222	0.338889	0.311111	0.0277778
All	0.999805	0.182909	0.536041	0.444084	0.487171	0.965417	0.399002	213.6	0.546296	0.459259	0.351852	0.183333	0.5	0.333333	0.211111	0.788889	0.0944444	0.25	0.822222	0.0722222	0.0611111	0.0111111
All	0.999808	0.00730647	0.0186113	0.00603766	0.703729	2.63519	0.0461861	208.639	0.496296	0.562963	0.498148	0.438889	0.644444	0.311111	0.527778	0.705556	0.238889	0.444444	0.638889	0.244444	0.172222	0.0722222
All	0.999907	0.142396	0.135251	0.00442982	0.603204	2.52814	0.712076	210.095	1	0.768519	0.590741	0.594444	0.472222	0.522222	0.688889	0.794444	0.155556	0.711111	0.877778	0.122222	0.0944444	0.0277778
All	0.999913	0.0738486	0.692693	0.529386	0.774981	4.34661	0.745756	215.898	0.694444	0.596296	0.581481	0.277778	0.511111	0.433333	0.438889	0.75	0.155556	0.45	0.555556	0.411111	0.327778	0.0833333
All	0.999876	0.150444	0.163219	0.14713	0.979888	0.416966	0.100011	207.12	0.685185	0.566667	0.438889	0.388889	0.433333	0.361111	0.277778	0.716667	0.138889	0.344444	0.716667	0.105556	0.1	0.00555556
All	0.999908	0.0846029	0.422941	0.0415863	0.462647	3.28499	0.751665	203.584	0.861111	0.822222	0.596296	0.316667	0.444444	0.522222	0.422222	0.666667	0.322222	0.661111	0.616667	0.372222	0.272222	0.1
All	0.999886	0.0106933	0.734117	0.598484	0.742292	3.71986	0.277628	205.468	0.6	0.562963	0.501852	0.211111	0.588889	0.288889	0.322222	0.672222	0.261111	0.45	0.516667	0.388889	0.333333	0.0555556
All	0.999917	0.0896582	0.682258	0.382352	0.680194	1.98756	0.608458	213.702	0.755556	0.533333	0.559259	0.183333	0.566667	0.383333	0.411111	0.705556	0.227778	0.488889	0.583333	0.355556	0.311111	0.0444444
All	0.999883	0.140299	0.710272	0.13622	0.285351	2.36983	0.931875	205.613	0.844444	0.646296	0.492593	0.222222	0.544444	0.394444	0.388889	0.688889	0.266667	0.405556	0.655556	0.255556	0.227778	0.0277778
All	0.999891	0.172858	0.66783	0.239725	0.505307	3.57333	0.139849	214.205	0.785185	0.640741	0.492593	0.194444	0.594444	0.344444	0.361111	0.544444	0.416667	0.383333	0.605556	0.3	0.277778	0.0222222
All	0.999945	0.0579214	0.0730611	0.00125963	0.360506	0.474847	0.776714	203.135	0.909259	0.77037	0.657407	0.683333	0.4	0.555556	0.627778	0.8	0.2	0.511111	0.866667	0.133333	0.122222	0.0111111
All	0.999932	0.188081	0.627793	0.392941	0.812107	3.21292	0.969093	212.312	0.801852	0.518519	0.574074	0.205556	0.544444	0.416667	0.388889	0.788889	0.144444	0.477778	0.6	0.344444	0.3	0.0444444
All	0.999888	0.17402	0.462887	0.29533	0.264887	4.75669	0.544955	206.501	0.733333	0.598148	0.516667	0.222222	0.577778	0.333333	0.288889	0.611111	0.383333	0.405556	0.627778	0.294444	0.266667	0.0277778
All	0.999974	0.0118483	0.69841	0.0285789	0.923743	4.17016	0.372792	213.238	0.864815	0.840741	0.646296	0.611111	0.188889	0.811111	0.888889	0.722222	0.277778	0.811111	0.827778	0.172222	0.166667	0.00555556
All	0.999908	0.178762	0.0976204	0.0842178	0.493031	4.27965	0.391156	207.327	0.868519	0.757407	0.52037	0.294444	0.455556	0.538889	0.494444	0.794444	0.194444	0.461111	0.727778	0.233333	0.216667	0.0166667
All	0.999889	0.0597888	0.3206	0.00340171	0.257301	2.52258	8.53055e-05	207.892	0.912963	0.824074	0.707407	0.605556	0.511111	0.327778	0.472222	0.694444	0.272222	0.538889	0.561111	0.3	0.3	0
All	0.999948	0.0958601	0.232308	0.0916983	0.622042	0.767854	0.702966	202.114	0.857407	0.796296	0.733333	0.611111	0.383333	0.611111	0.611111	0.6	0.344444	0.555556	0.833333	0.161111	0.0666667	0.0944444
All	0.999951	0.0815386	0.373572	0.0347242	0.73867	1.75279	0.0895875	205.077	0.962963	0.892593	0.701852	0.677778	0.216667	0.783333	0.866667	0.7	0.3	0.816667	0.938889	0.0611111	0.0388889	0.0222222
All	0.999838	0.13412	0.202656	0.190536	0.107394	3.75261	0.218796	204.462	0.640741	0.535185	0.487037	0.216667	0.4	0.316667	0.238889	0.805556	0.122222	0.35	0.644444	0.194444	0.188889	0.00555556
All	0.999854	0.0505767	0.413259	0.172623	0.939972	0.948861	0.129084	211.233	0.755556	0.564815	0.407407	0.316667	0.472222	0.327778	0.272222	0.783333	0.177778	0.377778	0.816667	0.0555556	0.0555556	0
All	0.99994	0.190449	0.289759	0.14538	0.428418	4.54917	0.311274	210.907	0.838889	0.707407	0.607407	0.461111	0.355556	0.644444	0.461111	0.75	0.244444	0.544444	0.7	0.266667	0.15	0.116667
All	0.999832	0.11516	0.689625	0.0984956	0.304168	1.17534	0.954756	200.749	0.835185	0.57037	0.385185	0.2	0.427778	0.327778	0.305556	0.822222	0.155556	0.3	0.744444	0.161111	0.111111	0.05
All	0.99995	0.104693	0.383411	0.295703	0.626647	2.15959	0.909189	206.773	0.85	0.648148	0.587037	0.322222	0.405556	0.572222	0.488889	0.872222	0.122222	0.444444	0.872222	0.0444444	0.0388889	0.00555556
All	0.99987	0.113683	0.143285	0.140125	0.411425	0.18371	0.268814	209.526	0.338889	0.47037	0.331481	0.277778	0.661111	0.244444	0.255556	0.527778	0.322222	0.394444	0.5	0.333333	0.161111	0.172222
All	0.999979	0.130204	0.371286	0.195772	0.91787	4.60638	0.118419	213.044	0.85	0.812963	0.694444	0.622222	0.155556	0.844444	0.938889	0.611111	0.388889	0.822222	0.933333	0.0666667	0.0611111	0.00555556
All	0.999947	0.0202174	0.246448	0.23475	0.557388	2.45102	0.846601	209.74	0.927778	0.737037	0.648148	0.405556	0.366667	0.616667	0.55	0.711111	0.288889	0.455556	0.844444	0.133333	0.105556	0.0277778
All	0.999975	0.0165314	0.0506496	0.0186003	0.127368	2.99818	0.0987308	205.841	0.874074	0.837037	0.709259	0.6	0.155556	0.844444	0.85	0.75	0.25	0.761111	0.816667	0.183333	0.183333	0
All	0.999976	0.0455415	0.550883	0.356911	0.324208	3.09497	0.897591	204.891	0.724074	0.735185	0.624074	0.611111	0.183333	0.816667	0.811111	0.566667	0.433333	0.55	0.833333	0.166667	0.0833333	0.0833333
All	0.999831	0.0288501	0.25396	0.148938	0.76008	4.65588	0.105043	212.605	0.75	0.535185	0.462963	0.305556	0.394444	0.405556	0.2	0.705556	0.211111	0.377778	0.672222	0.133333	0.116667	0.0166667
All	0.999965	0.195581	0.325955	0.252385	0.0826509	1.58791	0.33475	203.337	0.762963	0.77963	0.705556	0.538889	0.272222	0.683333	0.794444	0.688889	0.311111	0.472222	0.916667	0.0833333	0.0277778	0.0555556
All	0.999929	0.084208	0.304677	0.0182874	0.821834	2.38889	0.628327	214.152	0.924074	0.851852	0.740741	0.677778	0.366667	0.633333	0.672222	0.85	0.144444	0.805556	0.65	0.35	0.305556	0.0444444
All	0.999836	0.116925	0.706212	0.321451	0.328992	1.27082	0.00661259	210.715	0.668519	0.509259	0.374074	0.183333	0.5	0.322222	0.238889	0.805556	0.15	0.261111	0.777778	0.111111	0.1	0.0111111
All	0.99997	0.197946	0.33298	0.0702569	0.0541479	3.78391	0.368236	210.43	0.925926	0.925926	0.709259	0.65	0.15	0.85	0.872222	0.766667	0.233333	0.816667	0.85	0.15	0.15	0
All	0.999867	0.0386827	0.406063	0.329288	0.0899163	4.42891	0.0381735	209.275	0.751852	0.6	0.483333	0.25	0.6	0.294444	0.233333	0.672222	0.294444	0.4	0.622222	0.261111	0.244444	0.0166667
All	0.99983	0.174613	0.654708	0.17205	0.963249	4.85653	0.345974	210.612	0.816667	0.574074	0.401852	0.205556	0.394444	0.327778	0.305556	0.761111	0.172222	0.266667	0.733333	0.172222	0.161111	0.0111111
All	0.999884	0.15659	0.00948088	0.00894502	0.663433	4.01988	0.433829	201.047	0.827778	0.811111	0.603704	0.405556	0.316667	0.666667	0.611111	0.683333	0.194444	0.644444	0.855556	0.0888889	0.0888889	0
All	0.999955	0.0024517	0.741662	0.632217	0.856578	3.04345	0.197257	211.774	0.411111	0.440741	0.498148	0.233333	0.561111	0.377778	0.288889	0.716667	0.227778	0.327778	0.65	0.127778	0.1	0.0277778
All	0.999851	0.175557	0.642619	0.588237	0.750036	0.882686	0.559542	214.758	0.657407	0.527778	0.416667	0.272222	0.455556	0.327778	0.238889	0.65	0.244444	0.305556	0.655556	0.261111	0.194444	0.0666667
All	0.999975	0.0650353	0.402679	0.231481	0.399879	1.51415	0.910861	201.033	0.766667	0.807407	0.744444	0.622222	0.183333	0.816667	0.883333	0.566667	0.433333	0.766667	0.883333	0.116667	0.105556	0.0111111
All	0.999873	0.056465	0.0427302	0.0411844	0.0927375	4.81538	0.949934	200.549	0.803704	0.633333	0.524074	0.372222	0.466667	0.494444	0.427778	0.633333	0.25	0.405556	0.666667	0.138889	0.0222222	0.116667
All	0.999919	0.153386	0.580558	0.221233	0.337545	2.60358	0.169174	201.299	0.718519	0.627778	0.618519	0.255556	0.544444	0.433333	0.372222	0.75	0.233333	0.566667	0.583333	0.372222	0.294444	0.0777778
All	0.999945	0.0404783	0.429597	0.396194	0.658086	1.6878	0.727819	200.7	0.827778	0.52963	0.494444	0.277778	0.455556	0.511111	0.45	0.788889	0.183333	0.377778	0.827778	0.0777778	0.0777778	0
All	0.999827	0.0228922	0.60572	0.393316	0.88933	0.0458508	0.915161	212.832	0.22963	0.366667	0.283333	0.433333	0.405556	0.472222	0.288889	0.577778	0.377778	0.438889	0.411111	0.527778	0.288889	0.238889
All	0.999845	0.131796	0.345289	0.292903	0.505511	0.701251	0.252858	205.438	0.640741	0.494444	0.351852	0.305556	0.416667	0.355556	0.222222	0.811111	0.105556	0.3	0.861111	0.00555556	0.00555556	0
All	0.999821	0.167945	0.392037	0.286774	0.595853	4.89786	0.974392	213.812	0.674074	0.503704	0.37963	0.25	0.461111	0.311111	0.211111	0.822222	0.133333	0.283333	0.827778	0.0666667	0.0666667	0
All	0.999914	0.187009	0.634755	0.342817	0.4682	2.76451	0.416201	200.933	0.690741	0.616667	0.546296	0.205556	0.533333	0.383333	0.405556	0.761111	0.194444	0.533333	0.588889	0.361111	0.261111	0.1
All	0.999816	0.0481507	0.559068	0.277588	0.00320604	4.22175	0.0192964	210.992	0.685185	0.52037	0.362963	0.161111	0.5	0.333333	0.194444	0.761111	0.2	0.294444	0.811111	0.0944444	0.0888889	0.00555556
All	0.999915	0.0819126	0.530854	0.070952	0.292186	1.35382	0.224887	214.266	0.924074	0.677778	0.644444	0.283333	0.366667	0.622222	0.388889	0.766667	0.222222	0.611111	0.594444	0.366667	0.294444	0.0722222
All	0.999892	0.0884887	0.121385	0.00891787	0.0777247	3.85349	0.672877	208.712	1	0.805556	0.524074	0.622222	0.405556	0.511111	0.594444	0.727778	0.227778	0.705556	0.838889	0.155556	0.15	0.00555556
All	0.999923	0.0272237	0.665311	0.120824	0.192465	0.351175	0.502794	213.323	0.868519	0.6	0.505556	0.266667	0.477778	0.411111	0.438889	0.788889	0.194444	0.4	0.738889	0.183333	0.15	0.0333333
All	0.999812	0.106961	0.257659	0.066235	0.99119	0.507	0.742391	202.868	0.594444	0.47037	0.303704	0.3	0.577778	0.161111	0.238889	0.777778	0.1	0.388889	0.666667	0.0722222	0	0.0722222
All	0.999862	0.0514481	0.500654	0.340668	0.53576	3.47853	0.837773	204.652	0.75	0.577778	0.474074	0.2	0.5	0.361111	0.266667	0.716667	0.255556	0.3	0.588889	0.25	0.233333	0.0166667
All	0.999935	0.189503	0.613994	0.0461319	0.16767	0.25046	0.47207	204.332	0.798148	0.675926	0.487037	0.322222	0.466667	0.488889	0.294444	0.733333	0.194444	0.438889	0.761111	0.183333	0.166667	0.0166667
All	0.999921	0.0374528	0.507111	0.161582	0.684973	0.49301	0.677601	214.41	0.842593	0.655556	0.559259	0.233333	0.422222	0.5	0.388889	0.705556	0.25	0.366667	0.683333	0.244444	0.2	0.0444444
All	0.999902	0.155902	0.542142	0.36247	0.775671	2.84549	0.956742	211.077	0.683333	0.651852	0.557407	0.216667	0.55	0.377778	0.294444	0.7	0.277778	0.444444	0.594444	0.366667	0.305556	0.0611111
All	0.99985	0.133189	0.125043	0.100553	0.15677	3.41303	0.632065	213.899	0.724074	0.557407	0.509259	0.322222	0.6	0.311111	0.138889	0.822222	0.105556	0.472222	0.594444	0.211111	0.172222	0.0388889
All	0.999896	0.0890241	0.0560677	0.0555912	0.332167	4.56664	0.20269	209.388	0.866667	0.640741	0.555556	0.305556	0.333333	0.633333	0.45	0.777778	0.116667	0.466667	0.722222	0.116667	0.0833333	0.0333333
All	0.9999	0.135392	0.647799	0.134574	0.476165	4.73589	0.0256949	214.012	0.857407	0.681481	0.614815	0.211111	0.538889	0.422222	0.35	0.65	0.338889	0.516667	0.7	0.266667	0.211111	0.0555556
All	0.999933	0.146111	0.674027	0.349979	0.904101	1.88642	0.173527	215.952	0.851852	0.475926	0.596296	0.283333	0.538889	0.444444	0.455556	0.8	0.138889	0.488889	0.583333	0.355556	0.3	0.0555556
All	0.999901	0.171873	0.742986	0.486175	0.831532	4.31682	0.618652	202.076	0.601852	0.633333	0.542593	0.272222	0.561111	0.338889	0.344444	0.755556	0.222222	0.461111	0.6	0.366667	0.3	0.0666667
All	0.999817	0.0594402	0.300867	0.203569	0.116337	1.96437	0.855024	214.675	0.675926	0.483333	0.359259	0.25	0.4	0.344444	0.177778	0.822222	0.116667	0.305556	0.883333	0.0111111	0.0111111	0
All	0.999811	0.187437	0.311579	0.26331	0.764019	1.32037	0.941768	204.508	0.607407	0.472222	0.340741	0.211111	0.405556	0.338889	0.194444	0.788889	0.144444	0.266667	0.833333	0.0111111	0	0.0111111
All	0.999906	0.0309914	0.129839	0.115538	0.966041	0.776787	0.93836	213.426	0.818519	0.655556	0.5	0.238889	0.5	0.427778	0.311111	0.7	0.166667	0.333333	0.55	0.305556	0.25	0.0555556
All	0.999834	0.0639662	0.475353	0.334296	0.846687	4.39225	0.186504	210.245	0.67037	0.518519	0.368519	0.238889	0.494444	0.3	0.272222	0.788889	0.133333	0.277778	0.75	0.172222	0.15	0.0222222
All	0.999837	0.0433323	0.21561	0.150005	0.0701852	2.8048	0.452768	208.982	0.712963	0.55	0.448148	0.311111	0.377778	0.377778	0.194444	0.744444	0.155556	0.338889	0.577778	0.227778	0.216667	0.0111111
All	0.999866	0.0869381	0.633031	0.601346	0.933301	0.584938	0.414189	209.108	0.622222	0.537037	0.411111	0.238889	0.516667	0.338889	0.272222	0.722222	0.2	0.327778	0.705556	0.194444	0.155556	0.0388889
All	0.999925	0.0988382	0.0350802	0.0234359	0.575997	3.58756	0.297043	204.272	0.844444	0.77963	0.687037	0.716667	0.355556	0.644444	0.588889	0.833333	0.144444	0.855556	0.861111	0.138889	0.0888889	0.05
All	0.999852	0.112868	0.537389	0.313105	0.307387	4.52008	0.462773	205.691	0.761111	0.562963	0.437037	0.2	0.483333	0.366667	0.283333	0.744444	0.227778	0.311111	0.683333	0.227778	0.216667	0.0111111
All	0.999881	0.198351	0.116562	0.103055	0.734444	1.73435	0.30422	208.281	0.788889	0.583333	0.490741	0.344444	0.577778	0.322222	0.172222	0.65	0.183333	0.366667	0.655556	0.255556	0.205556	0.05
All	0.999922	0.120374	0.453742	0.438214	0.0488569	0.0765128	0.49515	209.16	0.564815	0.388889	0.322222	0.394444	0.394444	0.488889	0.266667	0.638889	0.327778	0.588889	0.516667	0.427778	0.288889	0.138889
All	0.999813	0.125595	0.512099	0.0909201	0.946386	1.66975	0.191223	202.369	0.766667	0.548148	0.388889	0.194444	0.45	0.277778	0.233333	0.788889	0.127778	0.322222	0.733333	0.177778	0.122222	0.0555556
All	0.999826	0.16091	0.417564	0.162474	0.314965	4.83527	0.422828	206.301	0.751852	0.531481	0.398148	0.294444	0.455556	0.283333	0.25	0.783333	0.15	0.338889	0.833333	0.0555556	0.0555556	0
All	0.999853	0.170929	0.0467734	0.0424915	0.470689	4.48299	0.206169	209.334	0.724074	0.635185	0.457407	0.327778	0.5	0.466667	0.377778	0.722222	0.172222	0.538889	0.583333	0.361111	0.144444	0.216667
All	0.999834	0.130999	0.157465	0.0601941	0.196415	3.05525	0.383825	213.509	0.659259	0.685185	0.527778	0.233333	0.405556	0.427778	0.294444	0.733333	0.155556	0.366667	0.688889	0.166667	0.116667	0.05
All	0.99995	0.108018	0.188123	0.00432815	0.442751	1.11269	0.335509	201.47	0.905556	0.898148	0.661111	0.65	0.25	0.75	0.744444	0.694444	0.305556	0.777778	0.805556	0.194444	0.133333	0.0611111
All	0.999977	0.14499	0.390478	0.134469	0.290058	4.4134	0.153989	207.685	0.944444	0.837037	0.72037	0.6	0.0388889	0.961111	0.855556	0.75	0.25	0.833333	0.966667	0.0333333	0.0333333	0
All	0.999877	0.121787	0.0714225	0.0390953	0.4356	4.3669	0.538749	214.967	0.866667	0.677778	0.511111	0.533333	0.433333	0.516667	0.511111	0.727778	0.222222	0.561111	0.622222	0.211111	0.111111	0.1
All	0.999893	0.0343138	0.0842643	0.0413133	0.781463	2.26443	0.589572	213.605	0.764815	0.653704	0.507407	0.316667	0.35	0.577778	0.555556	0.816667	0.166667	0.527778	0.644444	0.105556	0.0611111	0.0444444
All	0.999925	0.0629795	0.282265	0.194083	0.816673	1.33728	0.0101855	206.614	0.87963	0.607407	0.624074	0.283333	0.411111	0.505556	0.405556	0.716667	0.272222	0.455556	0.705556	0.261111	0.177778	0.0833333
All	0.99981	0.151395	0.439971	0.0377914	0.456209	3.46662	0.876745	202.915	0.761111	0.538889	0.340741	0.205556	0.422222	0.377778	0.294444	0.822222	0.133333	0.244444	0.8	0.122222	0.1	0.0222222
All	0.999957	0.0612129	0.358006	0.103225	0.522256	3.83246	0.788986	211.613	0.944444	0.875926	0.738889	0.588889	0.205556	0.794444	0.616667	0.672222	0.327778	0.661111	0.822222	0.161111	0.0277778	0.133333
All	0.999899	0.0979466	0.717283	0.624379	0.40785	0.567356	0.48682	211.729	0.601852	0.551852	0.464815	0.261111	0.644444	0.211111	0.272222	0.716667	0.211111	0.311111	0.633333	0.294444	0.261111	0.0333333
All	0.999869	0.0576209	0.683093	0.14959	0.0595993	2.30607	0.0423877	209.628	0.837037	0.592593	0.492593	0.2	0.533333	0.4	0.311111	0.738889	0.244444	0.338889	0.722222	0.194444	0.172222	0.0222222
All	0.999861	0.0320507	0.0924372	0.0756796	0.187634	2.86919	0.121015	211.965	0.748148	0.566667	0.507407	0.35	0.405556	0.538889	0.194444	0.672222	0.188889	0.422222	0.75	0.0833333	0.0277778	0.0555556
All	0.999956	0.193912	0.190547	0.17134	0.573879	3.35594	0.814337	202.995	0.957407	0.82963	0.764815	0.572222	0.283333	0.711111	0.611111	0.666667	0.327778	0.633333	0.805556	0.155556	0.00555556	0.15
All	0.999801	0.140621	0.523937	0.177749	0.518306	0.8523	0.230225	214.932	0.653704	0.468519	0.316667	0.227778	0.6	0.216667	0.161111	0.822222	0.0833333	0.366667	0.811111	0.0444444	0.0277778	0.0166667
All	0.999888	0.0686531	0.339075	0.0993517	0.0337465	0.905122	0.662676	205.538	0.872222	0.653704	0.546296	0.233333	0.427778	0.433333	0.322222	0.783333	0.177778	0.416667	0.588889	0.266667	0.188889	0.0777778
All	0.999858	0.0544353	0.244001	0.107896	0.611503	1.40977	0.0205701	205.163	0.812963	0.590741	0.466667	0.327778	0.511111	0.338889	0.233333	0.761111	0.15	0.366667	0.622222	0.183333	0.172222	0.0111111
All	0.999803	0.0935148	0.446658	0.268313	0.670107	1.14933	0.506689	206.092	0.587037	0.477778	0.342593	0.216667	0.555556	0.283333	0.183333	0.8	0.105556	0.25	0.8	0.0611111	0.0555556	0.00555556
All	0.999869	0.146475	0.697156	0.585827	0.0219602	1.04098	0.867382	210.532	0.62963	0.525926	0.47037	0.211111	0.561111	0.272222	0.272222	0.711111	0.216667	0.305556	0.611111	0.244444	0.233333	0.0111111
All	0.999927	0.19433	0.443605	0.0533273	0.184167	2.59645	0.44115	203.428	0.92963	0.835185	0.718519	0.444444	0.305556	0.672222	0.405556	0.761111	0.238889	0.727778	0.588889	0.394444	0.305556	0.0888889
All	0.999853	0.149199	0.506116	0.18428	0.151066	3.66228	0.32064	212.528	0.788889	0.594444	0.433333	0.161111	0.511111	0.377778	0.266667	0.738889	0.222222	0.322222	0.777778	0.111111	0.0888889	0.0222222
All	0.999824	0.13893	0.312632	0.225436	0.530351	3.38952	0.827214	209.516	0.648148	0.518519	0.362963	0.177778	0.338889	0.388889	0.211111	0.838889	0.127778	0.305556	0.861111	0.0388889	0.0388889	0
All	0.999967	0.0798895	0.0313685	0.0174535	0.481507	4.99105	0.689843	201.722	0.877778	0.861111	0.707407	0.627778	0.116667	0.883333	0.833333	0.783333	0.216667	0.883333	0.894444	0.105556	0.0722222	0.0333333
All	0.999828	0.0700186	0.299944	0.19777	0.648432	1.60852	0.288353	208.204	0.675926	0.501852	0.388889	0.255556	0.422222	0.311111	0.216667	0.855556	0.105556	0.35	0.888889	0.0222222	0.0222222	0
