Exp	a_t	lp	e_b	e_n	dsbeta	e_ds	mwd	aw	Yu2007-Exp1-2x2-single	Yu2007-Exp1-3x3-single	Yu2007-Exp1-4x4-single	Yurokovisky2013-Exp1-single	Yurokovisky2013-Exp1-either	Yurokovisky2013-Exp1-both	Yurokovisky2013-Exp2-single	Yurokovisky2013-Exp2-either	Yurokovisky2013-Exp2-both	Yurokovisky2013-Exp3-single	Yurokovisky2013-Exp3-either	Yurokovisky2013-Exp3-both	Yurokovisky2013-Exp3-early	Yurokovisky2013-Exp3-late
All	0.995307	0.14586	0.571085	0.549549	0.740273	3.0851	0.364425	202.05	0.644444	0.588889	0.590741	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
All	0.995371	0.112245	0.421259	0.357653	0.467995	0.980166	0.383634	206.464	0.714815	0.701852	0.648148	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
All	0.994005	0.0189122	0.695815	0.515929	0.937828	3.64782	0.0137613	210.19	0.661111	0.618519	0.464815	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
All	0.994059	0.193744	0.543161	0.147769	0.611727	0.374111	0.558416	200.664	0.627778	0.644444	0.496296	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
All	0.995087	0.0514265	0.483233	0.222372	0.482186	2.38362	0.741886	201.337	0.677778	0.707407	0.564815	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
All	0.995493	0.0574197	0.459653	0.215405	0.913169	1.65417	0.917785	204.824	0.672222	0.703704	0.614815	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
All	0.99447	0.103668	0.348068	0.247785	0.069211	0.0877531	0.9571	210.393	0.477778	0.65	0.572222	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
All	0.994712	0.105435	0.144421	0.00400226	0.842776	3.31312	0.5109	213.832	0.8	0.692593	0.562963	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
All	0.99564	0.0968888	0.549434	0.114364	0.323266	2.82824	0.593906	202.639	0.72037	0.748148	0.611111	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
All	0.994778	0.0876863	0.734394	0.679544	0.261752	0.844838	0.138219	207.907	0.635185	0.588889	0.492593	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
All	0.994784	0.130833	0.0962484	0.0233567	0.249478	2.19935	0.653028	202.281	0.790741	0.722222	0.537037	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
All	0.994451	0.1014	0.455943	0.381245	0.265759	1.79255	0.779436	201.044	0.701852	0.653704	0.544444	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
All	0.995215	0.0948219	0.0352817	0.0216377	0.774494	4.12272	0.993244	210.807	0.722222	0.72037	0.524074	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
All	0.994874	0.120155	0.362694	0.245328	0.833664	2.13677	0.170554	204.544	0.716667	0.668519	0.598148	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
All	0.994133	0.0962761	0.523615	0.177094	0.259083	3.07022	0.368088	201.968	0.618519	0.631481	0.516667	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
All	0.995501	0.196569	0.693595	0.373491	0.896949	4.45221	0.900939	205.367	0.709259	0.618519	0.592593	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
All	0.99428	0.198959	0.0462637	0.0270091	0.35353	4.84549	0.175953	209.866	0.761111	0.712963	0.477778	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
All	0.994142	0.0526165	0.50321	0.0967585	0.292812	1.95734	0.786175	214.495	0.666667	0.722222	0.509259	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
