Exp	a_t	lp	e_b	e_n	dsbeta	e_ds	mwd	aw	Yu2007-Exp1-2x2-single	Yu2007-Exp1-3x3-single	Yu2007-Exp1-4x4-single	Yurokovisky2013-Exp1-single	Yurokovisky2013-Exp1-either	Yurokovisky2013-Exp1-both	Yurokovisky2013-Exp2-single	Yurokovisky2013-Exp2-either	Yurokovisky2013-Exp2-both	Yurokovisky2013-Exp3-single	Yurokovisky2013-Exp3-either	Yurokovisky2013-Exp3-both	Yurokovisky2013-Exp3-early	Yurokovisky2013-Exp3-late
All	0.999896	0.0390911	0.20938	0.00600165	0.904144	2.50725	0.634525	211.32	-1	-1	-1	0.4	0.466667	0.266667	-1	-1	-1	-1	-1	-1	-1	-1
All	0.999896	0.0390911	0.20938	0.00600165	0.904144	2.50725	0.634525	211.32	-1	-1	-1	0.333333	0.466667	0.133333	-1	-1	-1	-1	-1	-1	-1	-1
All	0.999896	0.0390911	0.20938	0.00600165	0.904144	2.50725	0.634525	211.32	-1	-1	-1	0.2	0.466667	0.233333	-1	-1	-1	-1	-1	-1	-1	-1
All	0.999896	0.0390911	0.20938	0.00600165	0.904144	2.50725	0.634525	211.32	-1	-1	-1	0.266667	0.4	0.233333	-1	-1	-1	-1	-1	-1	-1	-1
All	0.999896	0.0390911	0.20938	0.00600165	0.904144	2.50725	0.634525	211.32	-1	-1	-1	0.333333	0.4	0.266667	-1	-1	-1	-1	-1	-1	-1	-1
All	0.999896	0.0390911	0.20938	0.00600165	0.904144	2.50725	0.634525	211.32	-1	-1	-1	0.5	0.466667	0.266667	-1	-1	-1	-1	-1	-1	-1	-1
All	0.999896	0.0390911	0.20938	0.00600165	0.904144	2.50725	0.634525	211.32	-1	-1	-1	0.466667	0.466667	0.233333	-1	-1	-1	-1	-1	-1	-1	-1
All	0.999896	0.0390911	0.20938	0.00600165	0.904144	2.50725	0.634525	211.32	-1	-1	-1	0.3	0.5	0.266667	-1	-1	-1	-1	-1	-1	-1	-1
All	0.999896	0.0390911	0.20938	0.00600165	0.904144	2.50725	0.634525	211.32	-1	-1	-1	0.266667	0.533333	0.133333	-1	-1	-1	-1	-1	-1	-1	-1
All	0.999896	0.0390911	0.20938	0.00600165	0.904144	2.50725	0.634525	211.32	-1	-1	-1	0.2	0.666667	0.133333	-1	-1	-1	-1	-1	-1	-1	-1
